Time stamp,Reward Stochastic swarm intelligence,Reward Self play rule_actions_v2 optimum 2 additional rules 3 stochastic
2020-06-28 22:22:25.075380,0.88,0.18
2020-06-28 22:27:03.301877,0.96,0.27
2020-06-28 22:30:35.684948,0.99,0.34
2020-06-28 22:34:36.916868,0.95,0.17
2020-06-28 22:38:21.975629,0.99,0.32
2020-06-28 22:42:05.457500,0.98,0.31
2020-06-28 22:45:51.813431,0.94,0.25
2020-06-28 22:49:28.526818,1.0,0.49
2020-06-28 22:52:56.684971,0.99,0.61
2020-06-28 22:56:31.178236,0.99,0.52
2020-06-28 23:00:00.588941,0.97,0.48
2020-06-28 23:03:30.277862,0.99,0.35
2020-06-28 23:07:01.328165,0.87,0.32
2020-06-28 23:10:24.220358,1.0,0.63
2020-06-28 23:13:47.840328,0.99,0.53
2020-06-28 23:17:25.069302,0.99,0.27
2020-06-28 23:20:53.928310,0.98,0.67
2020-06-28 23:24:20.765415,0.83,0.13
2020-06-28 23:28:02.012777,0.98,0.44
2020-06-28 23:31:22.219454,0.8,0.3
2020-06-28 23:34:50.086869,0.98,0.58
2020-06-28 23:38:21.651506,1.0,0.47
2020-06-28 23:41:45.270428,0.99,0.67
2020-06-28 23:45:13.766890,0.99,0.62
2020-06-28 23:48:42.746431,0.96,0.43
2020-06-28 23:52:08.363076,0.99,0.67
2020-06-28 23:55:47.995140,0.97,0.41
2020-06-28 23:59:22.237295,0.99,0.53
2020-06-29 00:02:54.849805,1.0,0.59
2020-06-29 00:06:19.853240,0.99,0.64
2020-06-29 00:09:55.742806,0.99,0.5
2020-06-29 00:13:20.702223,0.97,0.67
2020-06-29 00:16:53.337849,0.97,0.23
2020-06-29 00:20:20.057202,0.97,0.47
2020-06-29 00:23:49.979557,0.97,0.57
2020-06-29 00:27:23.291340,1.0,0.65
2020-06-29 00:30:58.634359,0.94,0.29
2020-06-29 00:34:30.302359,0.99,0.7
2020-06-29 00:38:04.715953,0.99,0.51
2020-06-29 00:41:30.208816,0.97,0.63
2020-06-29 00:45:00.729792,1.0,0.53
2020-06-29 00:48:33.577715,0.99,0.47
2020-06-29 00:51:59.396441,0.99,0.66
2020-06-29 00:55:33.307988,1.0,0.75
2020-06-29 00:59:09.273176,0.95,0.17
2020-06-29 01:02:40.613816,0.97,0.53
2020-06-29 01:06:09.241471,0.99,0.63
2020-06-29 01:09:32.642378,0.98,0.31
2020-06-29 01:13:03.660804,1.0,0.65
2020-06-29 01:16:36.934800,0.97,0.65
2020-06-29 01:20:10.098651,0.99,0.73
2020-06-29 01:23:37.593445,0.98,0.67
2020-06-29 01:27:10.943769,0.94,0.66
2020-06-29 01:30:43.629970,0.97,0.6
2020-06-29 01:34:14.197179,1.0,0.71
2020-06-29 01:37:41.662788,0.98,0.67
2020-06-29 01:41:10.959543,0.96,0.4
2020-06-29 01:44:38.056446,0.99,0.56
2020-06-29 01:48:05.761266,0.99,0.77
2020-06-29 01:51:39.533870,1.0,0.75
2020-06-29 01:55:06.073736,0.99,0.51
2020-06-29 01:58:43.104248,0.99,0.46
2020-06-29 02:02:16.270625,0.88,0.08
2020-06-29 02:05:43.884805,0.99,0.77
2020-06-29 02:09:10.714534,0.99,0.79
2020-06-29 02:12:42.438573,0.98,0.8
2020-06-29 02:16:20.812675,0.99,0.72
2020-06-29 02:19:53.344539,1.0,0.71
2020-06-29 02:23:36.688906,0.95,0.48
2020-06-29 02:27:25.347571,0.97,0.63
2020-06-29 02:30:54.746835,1.0,0.6
2020-06-29 02:34:22.314918,0.99,0.75
2020-06-29 02:37:56.867382,1.0,0.69
2020-06-29 02:41:35.319421,1.0,0.82
2020-06-29 02:45:12.094874,0.95,0.54
2020-06-29 02:48:44.794318,0.97,0.27
2020-06-29 02:52:19.135482,1.0,0.57
2020-06-29 02:55:52.419761,0.99,0.71
2020-06-29 02:59:30.993601,0.94,0.21
2020-06-29 03:03:10.855059,0.99,0.78
2020-06-29 03:06:50.710226,1.0,0.73
2020-06-29 03:10:31.334192,0.95,0.63
2020-06-29 03:14:01.068233,0.98,0.28
2020-06-29 03:17:36.574890,0.99,0.73
2020-06-29 03:21:13.036786,1.0,0.65
2020-06-29 03:24:55.309575,0.99,0.72
2020-06-29 03:28:30.051324,0.99,0.8
2020-06-29 03:32:10.992007,1.0,0.8
2020-06-29 03:35:44.149699,1.0,0.75
2020-06-29 03:39:22.331563,1.0,0.8
2020-06-29 03:42:56.288322,0.99,0.71
2020-06-29 03:46:33.434252,0.98,0.72
2020-06-29 03:50:23.199091,0.99,0.79
2020-06-29 03:53:57.865402,0.99,0.79
2020-06-29 03:57:42.170239,0.97,0.79
2020-06-29 04:01:28.152436,1.0,0.73
2020-06-29 04:05:10.217920,1.0,0.74
2020-06-29 04:08:51.191171,0.99,0.74
2020-06-29 04:12:27.528421,0.99,0.77
2020-06-29 04:16:14.005057,0.93,0.15
2020-06-29 04:19:49.688739,0.99,0.83
2020-06-29 04:23:27.624240,1.0,0.72
2020-06-29 04:27:05.069112,0.99,0.79
2020-06-29 04:30:44.764928,0.99,0.66
2020-06-29 04:34:23.780996,0.99,0.85
2020-06-29 04:38:01.411542,1.0,0.83
2020-06-29 04:41:39.807813,1.0,0.81
2020-06-29 04:45:18.922812,0.97,0.79
2020-06-29 04:48:56.185695,0.98,0.86
2020-06-29 04:52:35.348926,0.99,0.75
2020-06-29 04:56:12.074056,0.99,0.79
2020-06-29 05:00:01.921014,0.99,0.83
2020-06-29 05:03:39.183433,0.99,0.77
2020-06-29 05:07:28.752984,1.0,0.72
2020-06-29 05:11:15.640158,0.97,0.42
2020-06-29 05:15:00.451936,0.99,0.66
2020-06-29 05:18:43.640331,1.0,0.71
2020-06-29 05:22:29.377855,0.95,0.37
2020-06-29 05:26:14.093429,1.0,0.68
2020-06-29 05:30:04.778357,0.97,0.43
2020-06-29 05:33:51.719091,1.0,0.75
2020-06-29 05:37:39.977371,0.97,0.5
2020-06-29 05:41:26.951456,1.0,0.75
2020-06-29 05:45:10.733281,0.98,0.73
2020-06-29 05:48:50.963430,1.0,0.8
2020-06-29 05:52:36.412095,0.99,0.84
2020-06-29 05:56:18.549161,0.99,0.73
2020-06-29 06:00:07.744349,0.98,0.72
2020-06-29 06:03:55.814112,1.0,0.73
2020-06-29 06:07:46.627063,1.0,0.83
2020-06-29 06:11:39.577878,1.0,0.8
2020-06-29 06:15:38.268786,1.0,0.79
2020-06-29 06:19:24.351694,1.0,0.7
2020-06-29 06:23:37.505745,0.99,0.73
