Time stamp,Reward Stochastic swarm intelligence,Reward Self play rule_actions_v2 optimum 3 additional rules 5 stochastic
2020-07-03 07:54:50.836371,1.0,0.57
2020-07-03 08:00:48.701375,0.98,0.41
2020-07-03 08:06:54.342951,1.0,0.34
2020-07-03 08:13:06.415229,1.0,0.43
2020-07-03 08:19:15.177381,1.0,0.62
2020-07-03 08:25:13.819698,1.0,0.44
2020-07-03 08:31:15.432518,1.0,0.56
2020-07-03 08:37:34.569420,1.0,0.7
2020-07-03 08:43:59.531591,1.0,0.6
2020-07-03 08:50:00.240178,1.0,0.59
2020-07-03 08:56:11.599103,1.0,0.4
2020-07-03 09:02:09.608159,0.95,0.59
2020-07-03 09:08:12.231110,1.0,0.68
2020-07-03 09:14:06.568941,1.0,0.38
2020-07-03 09:20:00.698860,0.96,0.2
2020-07-03 09:26:31.011550,1.0,0.56
2020-07-03 09:32:56.053073,1.0,0.47
2020-07-03 09:39:15.084317,1.0,0.6
2020-07-03 09:45:15.835859,1.0,0.78
2020-07-03 09:51:23.186513,1.0,0.59
2020-07-03 09:57:28.022608,1.0,0.75
2020-07-03 10:03:37.474922,1.0,0.68
2020-07-03 10:09:46.164442,1.0,0.59
2020-07-03 10:15:37.682679,1.0,0.77
2020-07-03 10:21:25.469875,1.0,0.69
2020-07-03 10:27:04.570273,1.0,0.51
2020-07-03 10:32:53.265424,1.0,0.55
2020-07-03 10:38:41.286810,1.0,0.78
2020-07-03 10:44:41.583684,1.0,0.74
2020-07-03 10:50:43.451858,1.0,0.77
2020-07-03 10:56:30.174053,1.0,0.74
2020-07-03 11:02:13.484268,1.0,0.82
2020-07-03 11:08:03.236363,1.0,0.68
2020-07-03 11:14:03.964121,1.0,0.78
2020-07-03 11:19:38.081465,1.0,0.63
2020-07-03 11:25:10.533114,1.0,0.72
2020-07-03 11:30:58.369707,1.0,0.79
2020-07-03 11:36:39.586895,1.0,0.72
2020-07-03 11:42:22.537781,0.98,0.13
2020-07-03 11:48:23.189086,1.0,0.8
2020-07-03 11:54:11.929692,1.0,0.77
2020-07-03 11:59:55.229564,1.0,0.81
2020-07-03 12:05:53.817565,1.0,0.83
2020-07-03 12:12:02.558181,1.0,0.66
2020-07-03 12:17:53.645443,1.0,0.63
2020-07-03 12:23:34.990277,1.0,0.76
2020-07-03 12:29:26.625430,1.0,0.74
2020-07-03 12:35:14.898412,1.0,0.74
2020-07-03 12:41:13.833283,1.0,0.64
2020-07-03 12:47:01.861900,1.0,0.76
2020-07-03 12:52:47.098483,1.0,0.73
2020-07-03 12:58:53.762370,1.0,0.57
2020-07-03 13:04:35.091870,1.0,0.87
2020-07-03 13:10:45.197166,1.0,0.7
2020-07-03 13:16:29.613496,1.0,0.82
2020-07-03 13:22:08.689020,1.0,0.76
2020-07-03 13:28:25.039501,1.0,0.69
2020-07-03 13:34:22.040567,1.0,0.8
2020-07-03 13:40:05.329204,1.0,0.81
2020-07-03 13:45:57.279324,1.0,0.81
2020-07-03 13:51:57.229117,1.0,0.78
2020-07-03 13:57:51.867751,1.0,0.83
2020-07-03 14:03:39.384293,1.0,0.64
2020-07-03 14:09:55.275564,1.0,0.64
2020-07-03 14:15:48.729305,1.0,0.79
2020-07-03 14:21:46.245060,1.0,0.81
2020-07-03 14:27:34.791012,1.0,0.8
2020-07-03 14:33:28.656890,1.0,0.84
2020-07-03 14:39:10.608776,1.0,0.82
2020-07-03 14:45:16.796028,1.0,0.77
2020-07-03 14:51:19.728495,1.0,0.81
2020-07-03 14:57:13.627878,1.0,0.85
2020-07-03 15:03:02.206654,1.0,0.83
2020-07-03 15:08:55.571070,1.0,0.71
2020-07-03 15:14:27.363573,1.0,0.64
2020-07-03 15:20:26.140866,1.0,0.57
2020-07-03 15:26:19.843836,1.0,0.83
2020-07-03 15:32:10.662353,1.0,0.8
2020-07-03 15:37:58.492213,1.0,0.73
2020-07-03 15:43:44.938774,1.0,0.79
2020-07-03 15:49:26.354670,1.0,0.72
2020-07-03 15:55:08.118603,1.0,0.75
2020-07-03 16:01:01.001629,1.0,0.78
2020-07-03 16:06:58.232843,1.0,0.8
2020-07-03 16:12:54.394859,1.0,0.77
2020-07-03 16:18:53.649822,1.0,0.83
2020-07-03 16:24:49.940440,1.0,0.74
2020-07-03 16:30:40.574882,1.0,0.78
2020-07-03 16:36:33.654244,1.0,0.78
2020-07-03 16:42:35.073124,1.0,0.78
2020-07-03 16:48:42.282963,1.0,0.81
2020-07-03 16:54:34.593457,0.99,0.79
2020-07-03 17:00:31.470558,1.0,0.84
2020-07-03 17:06:23.408253,1.0,0.76
2020-07-03 17:12:22.622896,1.0,0.82
2020-07-03 17:18:34.331648,1.0,0.75
2020-07-03 17:24:38.140587,1.0,0.72
2020-07-03 17:30:32.943072,1.0,0.78
2020-07-03 17:36:37.394365,1.0,0.73
2020-07-03 17:42:32.075054,1.0,0.78
2020-07-03 17:49:05.068434,1.0,0.55
2020-07-03 17:55:06.277285,1.0,0.77
2020-07-03 18:01:06.338761,1.0,0.69
2020-07-03 18:06:52.496895,1.0,0.79
2020-07-03 18:12:46.361032,1.0,0.78
2020-07-03 18:18:43.168967,1.0,0.73
2020-07-03 18:24:32.150979,1.0,0.79
2020-07-03 18:30:11.319351,1.0,0.54
2020-07-03 18:36:03.501592,1.0,0.73
2020-07-03 18:42:40.182296,1.0,0.65
2020-07-03 18:48:37.113719,1.0,0.76
2020-07-03 18:54:45.200093,1.0,0.81
2020-07-03 19:00:48.464681,1.0,0.74
2020-07-03 19:06:42.593376,1.0,0.81
2020-07-03 19:12:49.590245,1.0,0.82
2020-07-03 19:18:53.775554,1.0,0.78
2020-07-03 19:24:55.618197,1.0,0.78
2020-07-03 19:30:42.504062,1.0,0.78
2020-07-03 19:36:36.556352,1.0,0.65
2020-07-03 19:42:25.699743,1.0,0.75
2020-07-03 19:48:13.099952,1.0,0.68
2020-07-03 19:54:07.981144,1.0,0.84
2020-07-03 20:00:05.937228,1.0,0.77
2020-07-03 20:06:08.831677,1.0,0.75
2020-07-03 20:12:18.277105,1.0,0.68
2020-07-03 20:18:15.573872,1.0,0.72
2020-07-03 20:24:22.494778,1.0,0.84
2020-07-03 20:30:20.634055,1.0,0.8
2020-07-03 20:45:57.845468,1.0,0.76
