halite_config_setting_divisor,collect_smoothed_multiplier,collect_actual_multiplier,collect_less_halite_ships_multiplier_base,collect_base_nearest_distance_exponent,return_base_multiplier,return_base_less_halite_ships_multiplier_base,early_game_return_base_additional_multiplier,early_game_return_boost_step,establish_base_smoothed_multiplier,establish_first_base_smoothed_multiplier_correction,first_base_no_4_way_camping_spot_bonus,max_camper_ship_budget,relative_step_start_camping,establish_base_deposit_multiplier,establish_base_less_halite_ships_multiplier_base,max_attackers_per_base,attack_base_multiplier,attack_base_less_halite_ships_multiplier_base,attack_base_halite_sum_multiplier,attack_base_run_enemy_multiplier,attack_base_catch_enemy_multiplier,collect_run_enemy_multiplier,return_base_run_enemy_multiplier,establish_base_run_enemy_multiplier,collect_catch_enemy_multiplier,return_base_catch_enemy_multiplier,establish_base_catch_enemy_multiplier,two_step_avoid_boxed_enemy_multiplier_base,n_step_avoid_boxed_enemy_multiplier_base,min_consecutive_chase_extrapolate,chase_return_base_exponential_bonus,ignore_catch_prob,max_initial_ships,max_final_ships,initial_standard_ships_hunting_season,minimum_standard_ships_hunting_season,min_standard_ships_fraction_hunting_season,max_standard_ships_fraction_hunting_season,max_standard_ships_low_clip_fraction_hunting_season,max_standard_ships_high_clip_fraction_hunting_season,max_standard_ships_decided_end_pack_hunting,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,remaining_budget_spawn_constant,spawn_score_threshold,boxed_in_halite_convert_divisor,n_step_avoid_min_die_prob_cutoff,n_step_avoid_window_size,influence_map_base_weight,influence_map_min_ship_weight,influence_weights_additional_multiplier,influence_weights_exponent,escape_influence_prob_divisor,rescue_ships_in_trouble,target_strategic_base_distance,target_strategic_num_bases_ship_divisor,target_strategic_triangle_weight,target_strategic_influence_desirability_multiplier,max_spawn_relative_step_divisor,no_spawn_near_base_ship_limit,avoid_cycles,max_risk_n_step_risky,max_steps_n_step_risky,Average win rate
1.0000000000486051,0.06857123175110226,7.913456303969594,0.4586789230486668,0.17502350204508724,11.883493062595832,0.8360960594779906,0.3507343175411013,86.0,0.079670929525332,3.5758853744048125,565.7519456923044,0.0,0.1889760743813207,0.8284132201947942,0.9078326713729984,4.0,329.62189997677865,0.8714509523370424,2.930960646829223,0.4137183230195536,1.8384271234930285,12.830702749575828,1.9419440944593207,2.528842091931512,0.5153501007279032,1.9794731587424448,1.3894001026344864,0.7796622718410449,0.3494151519971367,6.0,1.9550754413163238,0.3926426989440126,33.0,5.0,15.0,4.0,0.0962317820496126,0.7025524436348438,0.2280807796292241,0.7853291830118337,5.0,3.5754269888767234,3.733000486702434,0.20000534634614048,18.843209203303907,1.3705264721304165,0.12171860661400136,8.0,1.4131709812102948,0.07472100290151097,1.217855189625466,4.969112039505061,1.860083746011272,1.0,7.700184230634547,9.0,19.471260776379573,1.4016263152430055,7.152057260858518,100.0,0.0,0.54577434663618,81.0,0.7266666666666666
1.000000000023955,0.06771144715886314,7.695160518611265,0.5149633579030128,0.17346699024306558,6.543421195594312,0.9572527075660866,0.11513998920269078,53.0,0.08249878301248029,3.809295766921061,176.28907143987232,4.0,0.2362495298545247,0.8139793142118597,0.956198826874021,1.0,72.24802838599409,0.8637499338407525,1.7406119326383815,0.8344362038212149,0.16407665922611273,9.171827020631458,2.955511953748358,4.608956684338303,1.028762995991073,1.4252283822634852,1.0882409671144495,0.624407696830609,0.3960459359018175,9.0,1.6461132476985485,0.4638019204107117,47.0,14.0,8.0,5.0,0.2252224879291785,0.846197629472045,0.37214706083652827,0.6061326229848253,4.0,3.4807304800543126,9.235288822321195,0.20000482924344307,63.334395504779216,1.978610433084646,0.01751382188960527,8.0,1.603998968726004,0.339483497663529,1.3096179541381272,5.2906946765838745,3.5744903985221064,1.0,8.090197410306072,14.0,28.020647106043977,0.6160724318070357,9.631997216661643,101.0,1.0,0.3969196038367439,87.0,0.58
1.0000000000526703,0.04264734536467832,5.383555773711214,0.4289848054525924,0.2116917157060095,8.801541194043986,0.9234949836218052,0.14317073794576082,74.0,0.02692182411898637,3.991606846844772,678.6968482100707,4.0,0.2850816095918243,0.8181345873452288,0.9871298155751568,3.0,70.83367914788248,0.8396765912888132,1.6433272091368791,1.558680387531228,0.1857652652097357,8.796479971044002,2.0462645672829303,4.194685330365088,0.3564312598050277,1.5960155562557052,1.273375738983764,0.7466470172854909,0.7337770557601164,5.0,1.8752579385633168,0.2364803480508213,36.0,10.0,9.0,8.0,0.33591470939592216,0.7873685511416098,0.29139004582522515,0.6956312752348439,0.0,4.919863596357762,7.154524594255871,0.20000235014073808,92.70643418157655,1.0106508898755324,0.14193494509380591,8.0,1.5527493053824557,0.1882880913088205,2.88872464703734,5.776141735857375,3.6939274554412203,1.0,8.777928727860639,10.0,29.48597096192336,0.5723986782676926,16.072043156264492,101.0,0.0,0.5698530031811502,9.0,0.6466666666666666
1.0000000000324254,0.06570676167109263,7.416494420005895,0.4432486018199587,0.20308151081200604,7.2119980182942545,0.8820887093196499,0.04215598800390075,99.0,0.0015364568366896597,1.1329350968951677,941.2958430714133,0.0,0.34782286973825616,0.9960430636804152,0.9697299352376042,4.0,327.67343959504615,0.8274923271657304,1.6306248681777131,1.9519041543727715,1.5092072339887093,9.559345280370756,1.6526590307728697,1.8393497290919567,1.444470182475961,1.6744562518689636,0.2820150867960947,0.8163335405335889,0.5849081709787749,6.0,1.4396214825649236,0.3699064136164002,42.0,8.0,10.0,9.0,0.049547103664762566,0.6756661221055079,0.2476748672716977,0.5162235905950318,1.0,1.3111257274262975,8.02200705770025,0.2000069485142708,89.33915567348835,0.5667340278977036,0.009528448020926408,8.0,2.9189462671479114,0.34746694114331994,1.7192105399410738,4.615942209339313,2.6603834510500177,0.0,8.77062253818626,11.0,15.62187320163817,1.3359226014736387,22.047839227829524,101.0,1.0,0.5155167914369353,89.0,0.6733333333333333
1.0000000000077147,0.003146432567062197,2.4987676304102044,0.543543171293763,0.18650911394969905,11.84172722093554,0.8003048831046002,0.077987608980649,92.0,0.04682576870897198,2.9020007021103966,311.71773996625336,3.0,0.1905749976459847,0.8853358036432222,0.9379468185695508,3.0,69.65170413952494,0.8343105133549568,1.7532931091128583,1.9080840707863431,1.562345064252476,5.167182205439636,2.487385187102725,4.4909243100085945,0.2321055143769337,1.6337504216017351,1.6374630593839496,0.6158015308092919,0.6188358379588179,6.0,1.792268820084101,0.4753166080104286,54.0,14.0,12.0,2.0,0.29425948299021265,0.9423792265075268,0.3229173407330749,0.5789679555392666,4.0,4.2082975703980425,8.648996233421746,0.2000040809996376,6.730663334334066,0.6483299960705602,0.12131587974993233,7.0,1.368134628237125,0.3566244852085113,0.2007000625372008,3.1424259244913437,3.4233029393801035,0.0,8.760284052376715,6.0,22.408339775554165,0.5945576181173867,5.728692677838827,101.0,0.0,0.4927519133727247,30.0,0.6533333333333333
1.0000000000286031,0.03656737323807488,4.231129226610932,0.5634781694470411,0.2237682222259396,9.579779667682017,0.8825431634417505,0.012357188119004716,25.0,0.027943128434358814,2.0593258742654545,708.2526824056928,1.0,0.11365669847119045,0.8722190640778356,0.95509250583557,3.0,348.60076697274224,0.8286420046971921,1.4204800952163759,1.1481483489253792,1.0026492994595384,7.881826100194923,3.12165558600622,4.1893639727299465,1.7214009835677804,0.7767012630275241,1.3714854843087831,0.6414808084395999,0.6030563928351477,7.0,1.4693926332658491,0.4119641435214853,44.0,9.0,6.0,5.0,0.06457666001664157,0.7589258090166373,0.35723812742453737,0.5524193816526273,4.0,2.1283935487359065,8.410184245010871,0.2000052406510817,10.773351876970331,0.6122546462637526,0.0669261712543804,7.0,1.350501936690804,0.246125801716974,1.8551378034686137,6.429326976030617,3.9732309165682946,0.0,8.071690615477253,13.0,23.119584478362647,0.6958795869092625,22.52201437893663,100.0,0.0,0.649960373350417,97.0,0.6799999999999998
1.0000000000380709,0.051534465648622435,6.458499550637254,0.4676019325583643,0.11558660214753415,8.68638062054297,0.8820531105335572,0.1421959494760585,15.0,0.020240092694289863,2.0781287279413094,128.46324681878454,1.0,0.2393893197350591,0.9566750383368126,0.9088987718591552,4.0,338.61905411040664,0.835700689860142,2.1556097945147297,0.7290865789013071,0.08960698546574887,12.573322354646221,3.3742960731169296,2.45645100074158,0.9532401232675832,0.2582456531323583,0.9602279293688718,0.7803965330485415,0.3365235848795508,9.0,1.0263482969015552,0.2943129681753625,63.0,5.0,15.0,1.0,0.1369478913695845,0.8200795540996673,0.21269774570357336,0.5839754284984433,4.0,4.679530571703865,5.807585902289811,0.20000683542363606,75.1170277225327,1.5913095873580736,0.1148170198487954,7.0,2.033992826422689,0.3154809357398689,4.620275774582767,3.5060865638656726,2.898009677352113,1.0,7.348674212413857,15.0,25.442196992499728,0.6532982832450944,24.592809745479983,100.0,1.0,0.6057023127309322,62.0,0.5933333333333334
1.0000000000055749,0.05019673520362744,4.464578936528566,0.504563573896172,0.06946745746157196,6.1980046665911175,0.9020735559265908,0.4879783995346588,83.0,0.05966386794407511,1.7635411996155654,886.3287456898519,3.0,0.14710417782071064,0.8896775232230391,0.9634652983280524,3.0,273.5523906268457,0.9233313560506862,2.9298617042989887,1.307572554198931,1.326032288567289,13.306085001673374,1.6859058894033199,3.094960978817861,0.7359299218050085,0.4400503888961641,1.9150145174474664,0.6066159075463934,0.5046396631203179,6.0,1.89065435221784,0.2216362571963696,46.0,8.0,8.0,6.0,0.002919525567932891,0.5134432106771776,0.29915609374059776,0.661121669096014,5.0,3.226499521296013,9.764999110000478,0.2000026324866796,67.91783576148103,1.6940201721933192,0.1693803702760486,7.0,1.0924318103862538,0.4792022742389535,4.9717198994948495,7.53417013940732,3.430140440803275,1.0,6.990476260866285,10.0,27.99413129952277,1.310277623049251,16.679843113233765,101.0,0.0,0.5110492018576855,36.0,0.5
1.0000000000789295,0.06770953258380362,2.810129216896432,0.5542629221193055,0.2980814571649384,8.484620624615157,0.9715939452627924,0.4647156447899802,24.0,0.0879332528072486,2.667790391931081,551.8789773744809,2.0,0.3119904111877674,0.9226797372773105,0.9240705264412704,2.0,383.16165723583947,0.8732994195749596,1.5394372127950788,0.4170372853165044,0.4982615369729516,12.40776031178888,3.8536618511438387,2.038388930265953,0.13893175074193212,1.2796944940602228,1.1579415725741142,0.6922744604659454,0.3987258263439144,6.0,1.218313296563791,0.22328885416175964,61.0,8.0,14.0,1.0,0.14169879053388776,0.5332512285427341,0.31923774513065545,0.7752425004216517,0.0,1.2946542530710272,2.478953217291475,0.20000924660261094,85.1334023031528,0.5195234173292186,0.168646293000959,8.0,1.1989143907365658,0.30643911238737764,1.6228400454321918,7.065598791284617,1.4560150106122711,1.0,7.245512050892169,8.0,20.02331743900269,1.5357755970183251,22.792120024385024,101.0,1.0,0.3979003178102061,36.0,0.6133333333333334
1.0000000000771407,0.04437031958956522,6.577627161602397,0.6177728825397751,0.2741631206993831,7.1575315083327675,0.9086898830519456,0.3653484496592703,85.0,0.04076480659102059,2.787916588323617,531.4224150966843,3.0,0.3105128830303838,0.9350481019897862,0.927412823396306,2.0,202.4509301763887,0.9286713839822436,2.7172794477891644,1.2060901869002971,0.33611201855974376,5.7608923922680475,2.255575185591078,2.03374638585809,0.3108874052507427,1.1406330792823487,1.1289529588417022,0.6970576691173584,0.7693925723407435,4.0,1.1531440268502304,0.4006093286808488,49.0,6.0,10.0,0.0,0.26217163499056784,0.8260907778231386,0.2880036836799056,0.7414480047209433,2.0,4.959178548719767,9.09568894740206,0.2000008723610132,59.95072788751422,1.4420118636088357,0.17552118131609604,7.0,1.5307179176584595,0.4118092097159911,3.7477036828381847,3.759401000408956,3.414935513667136,0.0,7.5761311295939375,14.0,21.402001550824853,0.6928991839234828,20.00426724079714,101.0,1.0,0.4226463641583198,79.0,0.54
1.0,0.0,2.0,0.6750110980692265,0.13635171721138836,12.0,0.8,0.0,10.0,0.0,1.0,1000.0,0.0,0.1,0.8,1.0,5.0,500.0,0.8,1.0,2.0,2.0,5.0,4.0,5.0,2.0,0.0,2.0,0.6,0.9,10.0,2.0,0.5,30.0,15.0,5.0,10.0,0.0,0.677409484234717,0.4,0.5,5.0,1.0,10.0,0.2000096830545525,0.0,0.5,0.0,5.0,1.0,0.0,0.0,9.0,5.0,0.0,10.0,5.0,27.267932543340997,0.5,25.0,100.0,0.0,0.7,100.0,0.6466666666666666
1.0000000000278546,0.0363647246634248,8.0,0.4909170424341478,0.3,6.0,0.9663948621005404,0.1371107052045317,100.0,0.042833784459267416,3.077119881254617,506.808789995707,3.0,0.2316836698187203,0.9927856387092516,0.9674285320217192,2.0,239.57137338270678,0.8503446561863834,2.6924461639206214,0.35990512807608904,2.0,5.568630517651874,2.5918795257082405,1.392550496856524,1.4943897325638258,2.0,0.0,0.7788865712985404,0.4583511236638698,9.0,1.877826523913173,0.3951346693242712,38.0,5.0,11.0,5.0,0.043620549631032686,0.8987603993048148,0.29138406259531674,0.5805247302890238,3.0,4.588843791854279,6.532926221683239,0.2,4.0591178993742885,1.8249837448328428,0.02916419608880453,9.0,3.0,0.15803001610931314,3.115293545537625,3.0,3.566646313706096,0.0,9.882301049099393,11.0,10.0,1.3737110252477318,18.999105484873947,100.0,1.0,0.6856282924671154,100.0,0.6133333333333332
1.0000000000248137,0.06232649015646107,6.377071824264708,0.4694758513894853,0.1525616160845634,12.0,0.8,0.29482735297423496,70.0,0.07831277152577387,2.1852040408740896,678.5974453544737,0.0,0.16799015203482082,0.8411795487693119,0.9,4.0,362.51070884887616,0.8220448749377554,1.910594503852689,0.5576992300312316,2.0,12.297055383120695,2.5980807210940933,3.1991969082937666,1.0598966157009546,2.0,1.7462918391131708,0.7423901785180863,0.3,7.0,1.9397080411256171,0.4296507075421747,42.0,8.0,15.0,3.0,0.10268188501614996,0.6396676990706203,0.26276585799281943,0.7300301392097592,5.0,1.69881465716503,2.4521990669908345,0.20000852353719825,0.0,0.5,0.06832058957356117,8.0,1.1394744722041537,0.02243030861001348,0.0,6.0772874751143,1.975126602510852,1.0,7.61391941351509,7.0,20.1960746056608,1.7105216959404652,5.0,100.0,0.0,0.4955025019035441,77.0,0.7266666666666666
1.0000000000036628,0.0,3.9014012615597733,0.5551650823385745,0.08831877607728324,12.0,0.8,0.5,68.0,0.08667679044280713,2.4024342991394474,323.87741291834163,4.0,0.2885889555231903,0.8,0.948881180176078,0.0,140.2196748978393,0.9817896736449174,1.8641234911185487,1.0160067052584207,1.2660965016321457,13.468488234104669,2.6115849976998384,5.0,0.0,2.0,1.2162622690855909,0.6,0.3,10.0,1.1897204198690932,0.5,70.0,15.0,9.0,0.0,0.4,1.0,0.24935796796650794,0.5732225674900057,0.0,3.6634296088811,3.338051156539517,0.2000010729842824,16.468562188562487,1.285041934748674,0.12200152175746415,5.0,2.087294809196921,0.0,0.0,6.002074092466737,1.0,1.0,10.0,7.0,20.00462315104554,1.1277527480189289,5.0,101.0,0.0,0.13362116829569964,0.0,0.6133333333333334
1.000000000061795,0.052242822842752584,3.9804042660767047,0.6059573845753953,0.2635897731924315,10.788851582338317,0.8491094570320078,0.40776999826226107,51.0,0.05965330178796024,3.7374728762712026,808.4442656284639,4.0,0.2447788773063479,0.8519981427460184,0.9795004570892109,5.0,245.8654986429829,0.9611726742542054,2.7626839093112494,1.3544827359055969,1.1445784092616058,9.917906429060453,3.0009930956680644,4.2169734511895465,1.0179823814967923,1.7865449120486108,1.0456694732564804,0.8136006978915282,0.8650452804333084,7.0,1.0296409340867156,0.27862193403110835,49.0,12.0,8.0,7.0,0.1250457173867996,0.8747014288759194,0.33440358865174424,0.6815871104627385,2.0,2.0540173171419425,8.596963541985362,0.2,94.20028401544864,2.0,0.1968750171050994,6.0,2.9489175565997616,0.02252767800963918,4.025971493457614,3.1647052372027864,1.8845982283492324,1.0,7.200842683043818,9.0,28.22057377629519,1.135993382352448,11.050435868045875,100.0,1.0,0.4177058435736776,64.0,0.5866666666666667
1.0000000000462121,0.037940967496763116,8.0,0.5431837422008221,0.1381647690271965,7.825682510592115,0.934146607466808,0.257163140278811,44.0,0.0,3.5966820258494665,815.0714118086563,4.0,0.13712833548698444,0.8123935428439595,0.9715129634229762,4.0,281.84809326381117,0.8995067009770141,2.5875079334162923,0.743298278571533,0.31225486575934136,8.747675317227436,1.671677676002272,2.6861214653264733,1.5481969678530316,1.2196960404000987,0.9222791775976724,0.821282513835532,0.7429549711392069,4.0,2.0,0.1,33.0,12.0,14.0,10.0,0.39023726166109546,0.5635088519967543,0.2802252584322274,0.7402672976521674,5.0,5.0,7.261329827630725,0.20000656424176536,100.0,0.5339626001330979,0.11497450408857825,9.0,2.284412476215296,0.30319363462333515,1.3478244084082045,3.7348375761032337,5.0,0.0,8.880337244510587,8.0,30.0,0.5187155950148669,25.0,101.0,0.0,0.6295383940244499,44.0,0.6533333333333333
1.0000000000190286,0.08155468456423194,7.647907839738263,0.4,0.1533456679789554,12.0,0.8052329323670608,0.17916303690202384,77.0,0.05647515613221402,2.073917353269428,869.9991054551457,0.0,0.14276803749357173,0.8789255147593348,0.9136122367287824,5.0,457.9857385609626,0.8026327646443946,2.0258390433219082,0.6153441575384105,2.0,13.998619240415945,2.1450317518454804,2.4752489514987417,1.6123306126061512,2.0,1.2829414335897542,0.8207605369650514,0.3,7.0,2.0,0.3788086831097429,30.0,5.0,15.0,8.0,0.0,0.57784917081289,0.2313112986786517,0.6687913353278212,5.0,1.0,2.550654041273902,0.20000961183239524,6.161373150059428,0.5115934453941147,0.023802498444470827,9.0,1.7873544899213574,0.00778663556941165,0.36940904372390027,5.753395275060116,1.7900992889497185,1.0,7.566651366610764,8.0,16.77651568730941,1.8907326140140832,8.048428227491613,100.0,0.0,0.6781757419608788,100.0,0.6933333333333332
1.0000000000732965,0.06685323370735102,6.698367938582397,0.5521734697720817,0.23681418600679574,11.260589744517114,0.8897211180329141,0.3821719414929208,54.0,0.057396675952935086,2.9871071874228985,1000.0,0.0,0.16419060581519468,0.8,0.9475969818837349,3.0,415.85407436180094,0.8936623533337434,1.887381414240742,0.5749525059796313,1.702467632552264,10.061842769839243,1.9909964506453384,2.893390137612912,1.0862732691413657,2.0,1.5373415077185457,0.7348311077636389,0.6093636875324792,4.0,1.8983491912918689,0.34288561227759284,30.0,9.0,9.0,6.0,0.162971111418017,0.545967268240214,0.32595255162900416,0.8,3.0,1.6261966320887746,4.331061568200544,0.20000550510752976,33.0166238764398,0.5,0.11409175091684085,8.0,1.1674156782031389,0.02520010598773513,0.0,8.05009922023098,2.8803870811854417,0.0,8.170814770219522,9.0,19.83556381825571,1.382588479253111,15.550504255188011,100.0,0.0,0.4490451825898881,86.0,0.6466666666666666
1.0000000001,0.1,4.307251655290308,0.6624448979434869,0.025920605237127237,12.0,0.8982213486241765,0.5,82.0,0.0,4.0,343.74670918279065,0.0,0.4,0.9826727671357175,0.9,3.0,149.8848048536346,0.8829606319265834,2.104274043865021,2.0,0.8089150756090403,6.065743893652149,2.331953692562409,2.2033218692174104,0.8236397361709141,1.2656279651576947,1.2808098641249905,0.7891425821380894,0.7316189907436768,4.0,1.0,0.4574262442214383,55.0,15.0,15.0,10.0,0.17725284165327232,0.5,0.22609905295546992,0.8,3.0,5.0,7.162525465219946,0.20000069649288335,100.0,2.0,0.14546207921060192,8.0,1.6391481594828017,0.15177730494120764,0.0,4.213774890554303,5.0,1.0,7.5078624377337135,5.0,10.0,1.4443617957979011,11.843702049542896,101.0,0.0,0.6193648464683994,99.0,0.6533333333333333
